ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
a100130426	0	0	0	0	0	0	0	0.480703	0	0	0	0
a100133144	1.52251	4.20962	1.92573	0.671829	0.560611	1.56579	2.98841	2.50364	2.53501	1.74058	1.63071	1.31835
a100134869	2.13545	2.45836	1.91772	0	0.852628	0.687745	2.78099	2.34964	2.4392	1.69314	1.09326	0
a10357	4.95265	4.9859	4.30693	4.5874	4.53626	4.58945	4.00938	5.04534	4.96704	4.34402	3.9329	4.42945
a10431	7.35372	7.16858	7.26123	7.28276	7.02643	7.66341	6.0139	7.21659	6.7645	6.88695	6.87911	6.64816
a136542	0	0	0	0	0	0	0	0	0	0	0	0
a155060	5.3845	5.52146	5.82008	3.28953	1.74438	4.16531	7.08003	6.38523	6.31672	5.39384	4.92304	4.67838
a26823	0.747407	1.93721	0.368462	0	0	0	0	0	0.203355	0.86164	0	0
a280660	0	0	0	0	0	0	0	0	0	0	0	0
a317712	0	0	0	0	0	0	0	0	0	0	0	0
a340602	0	3.48994	0	0	0	0	1.23288	0	0	1.23529	0	0
a388795	1.55998	0	0	0	0	0	0.368462	1.43354	1.14975	0.592568	0	0
a390284	2.20001	2.16172	1.64469	1.39632	2.1878	1.2022	1.85499	1.43354	1.70993	2.02862	2.36638	1.51378
a391343	0	1.92725	0	0	0	0	0	0	0	0	0	0
a391714	0.665302	0	1.22475	0	0	0	0.592568	0	0	0.497845	0.368462	0.368462
a404770	0	0	0	0	0	0	0	0	0	0	0	0
a441362	0	0	0	0	0	0	0	0	0	0	0	0
a442388	0	0	0	0	0	0	0	0	0	0	0	0
a553137	4.95196	6.52796	4.06526	4.85241	4.47271	5.38907	1.77317	0.531001	0	2.29103	1.22475	0
a57714	6.55251	7.50439	5.4848	4.95669	3.95789	4.40395	6.71171	5.97294	6.12906	5.49788	5.19104	6.7065
a645851	1.39632	3.99105	2.53704	0	0.310699	0.261117	4.83011	3.53271	2.75851	2.11144	2.33277	1.62067
a652919	0	0	0.368462	1.36485	0	0	3.4119	0	0	0	0	1.08488
a653553	7.10332	6.99393	5.99894	5.30827	5.47227	5.86363	5.67165	7.00455	6.00952	5.14444	5.76816	4.60276
a728045	0	0	0	0	0	0	0	0	0	0	0	0
a728603	0	0	0	0	0	0	0	0	0	0	0	0
a728788	0	1.7423	0	0.824102	0	0	0	0.506373	0.824102	0	0	0
a729884	0	0	0	0.115525	0.310699	0	4.69953	0	3.48992	2.3374	4.15723	2.90606
a8225	7.58782	7.86365	6.79682	6.45362	6.37161	6.77308	6.12991	6.48966	6.66888	6.41276	6.49899	6.14608
a90288	3.6696	4.23812	2.01608	3.25858	2.33277	3.38531	3.79639	3.14818	3.94401	3.96873	3.66896	3.77876
A1BG	10.4399	10.7351	9.32163	11.7322	11.1411	11.5191	5.28872	6.05029	5.25759	5.04647	4.68548	2.74683
A1CF	6.79794	8.0684	7.31455	7.99632	7.58325	7.94626	0	0.500595	0	0.592568	0	0
A2BP1	0	2.35548	0	0	0	0	0	0	0	0.544139	1.47944	0.368462
A2LD1	6.35663	5.30385	8.15868	6.05917	5.43499	5.77213	4.64018	5.0892	4.10353	4.78598	4.71586	4.6346
A2ML1	0	0	1.08488	0.824102	0	0.310699	1.0641	0	1.00544	2.83599	2.88682	3.11068
A2M	12.9932	11.0547	12.586	11.6867	12.263	11.8066	8.66551	9.0872	9.30212	10.6016	10.3932	10.7078
A4GALT	4.85295	5.80212	4.46082	4.11877	5.05625	4.69481	4.25543	6.35418	6.22933	6.44302	6.82992	6.29853
A4GNT	6.72623	2.28007	0	0.149823	1.58093	0.261117	2.44333	0	0	1.23529	0.368462	2.93339
AAA1	0.86164	1.26064	0	0	0	0	0.500385	0	0	0	0.368462	0
AAAS	7.36771	7.51316	6.76388	6.50877	6.21461	6.6053	6.47749	6.58546	6.65672	6.66058	6.70539	6.39145
AACSL	0	0	0	0	0	0	1.01848	1.39632	0	0.908217	0	0
AACS	6.75227	6.77308	6.7417	5.11799	4.79737	5.54126	6.99246	7.33569	6.75587	7.03268	7.68649	6.56779
AADACL2	0	0	0	0	0	0	0	0	0	0.905319	1.83474	2.02862
AADACL3	0	1.26721	0	0	0	0	0	1.00544	0	1.86078	3.4691	1.89294
AADACL4	0	0	0	0.13774	0	0	0	0	0	0	0.86164	0
AADAC	7.64683	9.95375	9.00344	9.41001	9.15926	9.59329	0	0.592568	1.39632	2.97204	4.61239	6.42995
AADAT	3.82718	5.7589	3.78947	7.47873	6.90875	7.06902	2.06435	3.96964	4.00395	4.03444	5.52891	4.31182
AAGAB	7.40245	7.67183	6.1591	6.30445	6.25575	6.55962	7.17119	7.21659	7.42922	7.27924	6.98374	6.51416
AAK1	6.96508	7.00216	7.53903	6.10702	5.86647	6.33505	6.25062	6.34467	6.59135	6.87522	6.72093	6.9403
AAMP	8.50147	8.76202	7.64252	7.92913	7.6695	8.09071	7.62761	7.73759	7.92426	7.92725	7.85905	7.59014
AANAT	0	1.78955	0	0	0	0	0.368462	1.00544	0.310699	0.500385	0.368462	0
AARS2	6.25958	7.23193	6.38317	5.74939	5.19235	5.82597	6.53799	6.08839	6.07059	6.18629	5.8595	5.42299
AARSD1	7.17166	7.49332	6.31716	6.46925	6.29157	6.63068	6.14776	5.97063	6.20372	6.54204	6.35494	6.17298
AARS	9.28545	9.75481	8.86715	8.31091	8.22255	8.23004	8.39176	7.84685	7.661	8.02753	8.07556	8.08625
AASDHPPT	7.53903	7.59186	6.79906	6.90767	6.96697	7.03262	6.69693	6.66018	6.50172	6.48693	6.49729	6.39741
AASDH	5.40268	5.78074	5.39816	5.01064	5.0876	5.3799	5.62924	5.25431	5.28586	5.75549	5.5496	5.75629
AASS	4.41654	6.81674	7.41818	8.16366	7.39756	8.19395	3.90057	4.33177	5.21648	6.38637	5.85373	6.50048
AATF	7.76938	8.30968	6.89669	6.71417	6.65286	7.10085	7.32641	7.64918	7.55809	7.03855	6.94862	6.9284
AATK	4.6364	3.87836	2.81701	3.17951	3.11068	4.17201	6.43068	4.9859	4.78549	4.51024	3.70871	3.38052
ABAT	7.76472	10.033	9.35824	10.1812	9.92157	9.70711	6.43251	5.93049	7.45156	7.11261	6.43047	5.41851
ABCA10	5.47227	4.07461	4.20613	5.1299	2.80521	4.4934	2.98741	3.31744	3.15319	5.10671	5.50167	5.50289
ABCA11P	4.67994	4.08155	4.88526	3.83894	3.76641	3.5364	4.40981	5.05637	4.91988	5.02542	4.51031	4.45041
ABCA12	0	1.70941	0	1.35355	0	1.97711	5.77524	0	7.26662	5.27771	5.64043	1.60115
ABCA13	0	3.93478	1.41296	1.36138	1.33433	1.97785	0	0.500385	1.27986	2.26623	1.39798	2.2636
ABCA17P	1.32935	2.19293	2.16364	0	1.20446	0	3.07133	2.60001	2.29379	2.49433	1.94538	1.62118
ABCA1	7.47647	7.83752	7.64775	8.32603	8.21012	7.94837	5.66802	6.53797	6.62042	6.58057	7.44733	8.12705
ABCA2	7.85399	7.73368	5.68698	7.30653	6.3699	7.46623	8.41371	8.07388	7.22712	7.06113	7.36681	7.39466
ABCA3	4.96965	5.01728	6.29527	4.78969	3.96211	4.49159	8.60736	7.32321	6.87684	7.3105	7.56825	6.84034
ABCA4	5.12396	4.7115	2.80659	2.93521	2.18721	3.25389	1.73517	1.02354	4.27483	5.04117	3.60656	2.02862
ABCA5	7.53423	7.6912	7.32777	6.84694	6.77878	6.52209	6.67972	6.32862	6.02364	6.44201	6.40281	6.85118
ABCA6	6.6958	8.63817	7.09589	8.49392	7.91972	7.99024	3.30526	4.38712	4.34863	5.81876	6.26398	7.07648
ABCA7	6.60935	6.04501	6.15273	4.77833	3.26515	5.69709	6.39351	5.95194	6.14604	5.96342	6.17493	5.33128
ABCA8	2.16172	7.39879	7.48941	7.30047	6.98008	7.36834	4.10468	3.95789	5.36825	6.652	7.58978	8.66831
ABCA9	5.86079	5.18739	6.65801	5.7589	4.4934	5.20949	3.7253	4.00476	4.23376	5.98442	6.95043	7.83033
ABCB10	7.00397	7.50988	7.36645	6.79122	6.45362	6.29895	6.2801	5.6324	6.02264	5.54982	5.78909	5.92891
ABCB11	0.685282	8.46147	5.24175	7.52779	6.54391	6.7093	0	0.500385	1.00544	1.08553	1.20446	2.91676
ABCB1	8.05801	8.60776	3.42178	7.24993	7.28001	7.90544	3.4886	3.09464	4.66419	6.15114	5.03502	5.33374
ABCB4	5.50939	8.99454	7.45761	8.43164	7.63916	8.90585	2.89368	2.78103	2.49063	3.06192	3.04171	4.11413
ABCB5	5.24702	2.10762	0	0	0	0	0.368462	1.69314	0.86164	4.5662	4.92431	3.99435
ABCB6	7.86456	8.25575	6.93109	7.16364	6.90429	7.26985	6.73345	6.4645	6.43659	6.09409	6.73387	6.57411
ABCB7	6.25575	7.33824	6.57925	6.38856	6.05209	6.41182	6.41122	4.97167	5.87373	6.25392	6.25824	6.41005
ABCB8	7.47364	7.9036	7.53956	6.94216	6.29711	6.90375	7.17911	6.49241	6.86049	6.34933	6.41273	5.97266
ABCB9	4.92304	5.82023	5.39712	3.10102	1.52418	2.53443	5.65931	5.60081	5.02666	4.64695	4.68499	3.85252
ABCC10	6.43294	6.56808	6.61874	4.59682	4.33177	4.87345	6.7238	6.33828	6.55316	5.90372	5.74195	5.38406
ABCC11	3.69449	6.68085	4.48694	5.50939	4.43471	4.36249	4.5437	0.500385	7.70128	6.08688	7.96325	1.36138
ABCC12	0	2.46996	0.368462	0	0	0.368462	0	0	4.5345	1.62067	3.24358	0
ABCC13	1.35437	1.16284	1.54544	0	0	0	0	4.68225	4.07821	0	1.20446	0
ABCC1	5.82895	6.78784	5.0814	4.60276	5.23644	5.70044	7.36161	7.37906	7.14149	6.82924	7.26534	7.28253
ABCC2	8.44548	9.16304	8.96393	8.64471	8.02715	8.51559	2.0135	1.9272	2.85858	2.33978	4.21749	3.81835
ABCC3	8.47324	9.89217	8.77338	8.74989	7.91096	8.27995	4.70653	4.97937	7.2643	6.47043	6.98722	5.30128
ABCC4	4.64498	6.43133	5.73334	3.82571	3.72408	4.78991	3.50605	4.81104	6.08766	4.93475	5.30377	4.7115
